Thực hiện: 09h46 15-02-2023

==== ==== ==== ==== ==== ====
Đầu ra, Số chữ đầu ra, Đầu vào, Số chữ đầu vào, Tác nhân, Số giây của video, Kết quả 
EN_art_0_1000_01.txt , 1178, EN_art_0_1000_01_mau.txt , 1216, connguoi, 558.00s, 97.79175%
EN_art_0_100_01.txt , 60, EN_art_0_100_01_mau.txt , 60, connguoi, 27.36s, 100.0%
EN_art_0_100_02.txt , 69, EN_art_0_100_02_mau.txt , 84, connguoi, 32.73s, 93.28541%
EN_art_0_300_01.txt , 132, EN_art_0_300_01_mau.txt , 288, connguoi, 117.53s, 87.68284%
EN_art_0_300_02.txt , 166, EN_art_0_300_02_mau.txt , 177, connguoi, 88.67s, 85.2867%
EN_art_0_500_01.txt , 181, EN_art_0_500_01_mau.txt , 667, connguoi, 254.73s, 86.32297%
EN_art_0_50_01.txt , 9, EN_art_0_50_01_mau.txt , 52, connguoi, 18.90s, 25.32167%
EN_art_0_50_02.txt , 40, EN_art_0_50_02_mau.txt , 44, connguoi, 15.50s, 78.49574%
EN_art_1_100_01.txt , 0, EN_art_1_100_01_mau.txt , 60, connguoi, 25.27s, 0.0%
EN_art_1_100_02.txt , 18, EN_art_1_100_02_mau.txt , 84, connguoi, 37.37s, 57.15772%
EN_art_1_300_01.txt , 279, EN_art_1_300_01_mau.txt , 288, connguoi, 186.68s, 91.52523%
EN_art_1_300_02.txt , 0, EN_art_1_300_02_mau.txt , 177, connguoi, 75.27s, 0.0%
EN_art_1_500_01.txt , 20, EN_art_1_500_01_mau.txt , 667, connguoi, 240.30s, 36.48195%
EN_art_1_50_01.txt , 0, EN_art_1_50_01_mau.txt , 52, connguoi, 22.87s, 0.0%
EN_art_1_50_02.txt , 0, EN_art_1_50_02_mau.txt , 44, connguoi, 20.83s, 0.0%
EN_gg_0_1000_01.txt , 515, EN_gg_0_1000_01_mau.txt , 1216, google, 476.77s, 93.12958%
EN_gg_0_100_01.txt , 45, EN_gg_0_100_01_mau.txt , 60, google, 31.86s, 87.46242%
