Thực hiện: 21h59 14-02-2023

==== ==== ==== ==== ==== ====
Đầu ra, Số chữ đầu ra, Đầu vào, Số chữ đầu vào, Tác nhân, Số giây của video, Kết quả 
EN_art_0_1000_01.txt , 1146, EN_art_0_1000_01_mau.txt , 1216, connguoi, 558.00s, 97.56933%
EN_art_0_100_01.txt , 60, EN_art_0_100_01_mau.txt , 60, connguoi, 27.36s, 100.0%
EN_art_0_100_02.txt , 65, EN_art_0_100_02_mau.txt , 84, connguoi, 32.73s, 93.87621%
EN_art_0_300_01.txt , 220, EN_art_0_300_01_mau.txt , 288, connguoi, 117.53s, 95.53814%
EN_art_0_300_02.txt , 159, EN_art_0_300_02_mau.txt , 177, connguoi, 88.67s, 85.80476%
EN_art_0_500_01.txt , 426, EN_art_0_500_01_mau.txt , 667, connguoi, 254.73s, 94.01211%
EN_art_0_50_01.txt , 9, EN_art_0_50_01_mau.txt , 52, connguoi, 18.90s, 25.32167%
EN_art_0_50_02.txt , 19, EN_art_0_50_02_mau.txt , 44, connguoi, 15.50s, 45.65414%
EN_art_1_100_01.txt , 3, EN_art_1_100_01_mau.txt , 60, connguoi, 25.27s, 21.69292%
EN_art_1_100_02.txt , 38, EN_art_1_100_02_mau.txt , 84, connguoi, 37.37s, 63.73355%
EN_art_1_300_01.txt , 254, EN_art_1_300_01_mau.txt , 288, connguoi, 186.68s, 85.65067%
EN_art_1_300_02.txt , 14, EN_art_1_300_02_mau.txt , 177, connguoi, 75.27s, 32.14599%
EN_art_1_500_01.txt , 104, EN_art_1_500_01_mau.txt , 667, connguoi, 240.30s, 69.56004%
EN_art_1_50_01.txt , 17, EN_art_1_50_01_mau.txt , 52, connguoi, 22.87s, 53.67841%
EN_art_1_50_02.txt , 0, EN_art_1_50_02_mau.txt , 44, connguoi, 20.83s, 0.0%
EN_gg_0_1000_01.txt , 495, EN_gg_0_1000_01_mau.txt , 1216, google, 476.77s, 93.87309%
EN_gg_0_100_01.txt , 60, EN_gg_0_100_01_mau.txt , 60, google, 31.86s, 100.0%
EN_gg_0_100_02.txt , 21, EN_gg_0_100_02_mau.txt , 84, google, 31.37s, 62.99211%
EN_gg_0_300_01.txt , 48, EN_gg_0_300_01_mau.txt , 288, google, 97.00s, 49.44019%
EN_gg_0_300_02.txt , 65, EN_gg_0_300_02_mau.txt , 177, google, 71.23s, 74.54558%
EN_gg_0_500_01.txt , 4, EN_gg_0_500_01_mau.txt , 667, google, 239.33s, 8.17352%
EN_gg_0_50_01.txt , 31, EN_gg_0_50_01_mau.txt , 52, google, 21.97s, 80.76671%
EN_gg_0_50_02.txt , 17, EN_gg_0_50_02_mau.txt , 44, google, 18.93s, 52.71797%
EN_gg_1_1000_01.txt , 1061, EN_gg_1_1000_01_mau.txt , 1216, google, 555.37s, 98.53246%
EN_gg_1_100_01.txt , 56, EN_gg_1_100_01_mau.txt , 60, google, 33.28s, 96.80784%
EN_gg_1_100_02.txt , 81, EN_gg_1_100_02_mau.txt , 84, google, 38.07s, 95.49364%
EN_gg_1_300_01.txt , 92, EN_gg_1_300_01_mau.txt , 288, google, 99.03s, 84.83983%
EN_gg_1_300_02.txt , 155, EN_gg_1_300_02_mau.txt , 177, google, 78.97s, 86.10215%
EN_gg_1_500_01.txt , 449, EN_gg_1_500_01_mau.txt , 667, google, 354.33s, 94.05808%
EN_gg_1_50_01.txt , 52, EN_gg_1_50_01_mau.txt , 52, google, 20.63s, 98.17631%
EN_gg_1_50_02.txt , 45, EN_gg_1_50_02_mau.txt , 44, google, 17.00s, 94.55179%
VI_art_0_1000_01.txt , 12, VI_art_0_1000_01_mau.txt , 723, connguoi, 172.77s, 9.08918%
VI_art_0_1000_02.txt , 17, VI_art_0_1000_02_mau.txt , 664, connguoi, 177.17s, 20.20156%
VI_art_0_100_01.txt , 0, VI_art_0_100_01_mau.txt , 85, connguoi, 22.53s, 0.0%
VI_art_0_100_02.txt , 18, VI_art_0_100_02_mau.txt , 48, connguoi, 12.73s, 41.03297%
VI_art_0_300_01.txt , 14, VI_art_0_300_01_mau.txt , 82, connguoi, 26.37s, 31.59055%
VI_art_0_300_02.txt , 13, VI_art_0_300_02_mau.txt , 144, connguoi, 41.10s, 26.9859%
VI_art_0_500_01.txt , 8, VI_art_0_500_01_mau.txt , 312, connguoi, 80.23s, 33.41094%
VI_art_0_50_01.txt , 0, VI_art_0_50_01_mau.txt , 35, connguoi, 51.37s, 0.0%
VI_art_0_50_02.txt , 0, VI_art_0_50_02_mau.txt , 55, connguoi, 9.17s, 0.0%
VI_art_1_1000_01.txt , 634, VI_art_1_1000_01_mau.txt , 723, connguoi, 20.70s, 93.07577%
VI_art_1_1000_02.txt , 646, VI_art_1_1000_02_mau.txt , 664, connguoi, 339.27s, 93.72502%
VI_art_1_100_01.txt , 31, VI_art_1_100_01_mau.txt , 85, connguoi, 277.24s, 35.62018%
VI_art_1_100_02.txt , 44, VI_art_1_100_02_mau.txt , 48, connguoi, 33.80s, 78.25062%
VI_art_1_300_01.txt , 80, VI_art_1_300_01_mau.txt , 82, connguoi, 18.79s, 74.19828%
VI_art_1_300_02.txt , 121, VI_art_1_300_02_mau.txt , 144, connguoi, 34.33s, 60.46133%
VI_art_1_500_01.txt , 277, VI_art_1_500_01_mau.txt , 312, connguoi, 59.93s, 93.21386%
VI_art_1_500_02.txt , 171, VI_art_1_500_02_mau.txt , 202, connguoi, 131.34s, 79.77614%
VI_art_1_50_01.txt , 18, VI_art_1_50_01_mau.txt , 35, connguoi, 93.28s, 34.34509%
VI_art_1_50_02.txt , 34, VI_art_1_50_02_mau.txt , 55, connguoi, 12.27s, 69.87692%
VI_gg_0_1000_01.txt , 442, VI_gg_0_1000_01_mau.txt , 723, google, 16.47s, 91.01904%
VI_gg_0_1000_02.txt , 317, VI_gg_0_1000_02_mau.txt , 664, google, 218.57s, 86.54966%
VI_gg_0_100_01.txt , 64, VI_gg_0_100_01_mau.txt , 85, google, 179.07s, 70.75029%
VI_gg_0_100_02.txt , 48, VI_gg_0_100_02_mau.txt , 48, google, 35.73s, 88.01037%
VI_gg_0_300_01.txt , 80, VI_gg_0_300_01_mau.txt , 82, google, 16.97s, 96.54183%
VI_gg_0_300_02.txt , 133, VI_gg_0_300_02_mau.txt , 144, google, 31.63s, 93.89423%
VI_gg_0_500_01.txt , 237, VI_gg_0_500_01_mau.txt , 312, google, 45.00s, 94.30353%
VI_gg_0_500_02.txt , 125, VI_gg_0_500_02_mau.txt , 202, google, 102.77s, 81.24569%
VI_gg_0_50_01.txt , 33, VI_gg_0_50_01_mau.txt , 35, google, 63.83s, 95.87977%
VI_gg_0_50_02.txt , 37, VI_gg_0_50_02_mau.txt , 55, google, 10.77s, 84.18152%
VI_gg_1_1000_01.txt , 573, VI_gg_1_1000_01_mau.txt , 723, google, 18.57s, 94.78225%
VI_gg_1_1000_02.txt , 568, VI_gg_1_1000_02_mau.txt , 664, google, 180.70s, 95.15841%
VI_gg_1_100_01.txt , 29, VI_gg_1_100_01_mau.txt , 85, google, 190.10s, 57.95953%
VI_gg_1_100_02.txt , 0, VI_gg_1_100_02_mau.txt , 48, google, 24.87s, 0.0%
VI_gg_1_300_01.txt , 31, VI_gg_1_300_01_mau.txt , 82, google, 13.70s, 70.6069%
VI_gg_1_300_02.txt , 50, VI_gg_1_300_02_mau.txt , 144, google, 26.13s, 59.09468%
VI_gg_1_500_01.txt , 191, VI_gg_1_500_01_mau.txt , 312, google, 39.87s, 87.8435%
VI_gg_1_500_02.txt , 197, VI_gg_1_500_02_mau.txt , 202, google, 84.83s, 93.64858%
VI_gg_1_50_01.txt , 20, VI_gg_1_50_01_mau.txt , 35, google, 58.27s, 68.35971%
VI_gg_1_50_02.txt , 47, VI_gg_1_50_02_mau.txt , 55, google, 10.57s, 90.19153%

=> Tổng số có 70 file đã thực thi 
=> Thời gian thực thi: 0:00:01.538197
