Thực hiện: 23h33 17-02-2023

==== ==== ==== ==== ==== ====
Đầu ra, Số chữ đầu ra, Đầu vào, Số chữ đầu vào, Tác nhân, Số giây của video, Kết quả 
EN_art_0_1000_01.txt , 734, EN_art_0_1000_01_mau.txt , 1216, connguoi, 558.00s, 94.47562%
EN_art_0_100_01.txt , 51, EN_art_0_100_01_mau.txt , 60, connguoi, 27.36s, 91.30543%
EN_art_0_100_02.txt , 50, EN_art_0_100_02_mau.txt , 84, connguoi, 32.73s, 90.45896%
EN_art_0_300_01.txt , 14, EN_art_0_300_01_mau.txt , 288, connguoi, 117.53s, 59.56384%
EN_art_0_300_02.txt , 126, EN_art_0_300_02_mau.txt , 177, connguoi, 88.67s, 81.10005%
EN_art_0_500_01.txt , 4, EN_art_0_500_01_mau.txt , 667, connguoi, 254.73s, 27.68794%
EN_art_0_50_01.txt , 0, EN_art_0_50_01_mau.txt , 52, connguoi, 18.90s, 0.0%
EN_art_0_50_02.txt , 38, EN_art_0_50_02_mau.txt , 44, connguoi, 15.50s, 76.98047%
EN_art_1_100_01.txt , 4, EN_art_1_100_01_mau.txt , 60, connguoi, 25.27s, 13.59863%
EN_art_1_100_02.txt , 3, EN_art_1_100_02_mau.txt , 84, connguoi, 37.37s, 13.70267%
EN_art_1_300_01.txt , 245, EN_art_1_300_01_mau.txt , 288, connguoi, 186.68s, 89.17579%
EN_art_1_300_02.txt , 0, EN_art_1_300_02_mau.txt , 177, connguoi, 75.27s, 0.0%
EN_art_1_500_01.txt , 1, EN_art_1_500_01_mau.txt , 667, connguoi, 240.30s, 0.0%
EN_art_1_50_01.txt , 0, EN_art_1_50_01_mau.txt , 52, connguoi, 22.87s, 0.0%
EN_art_1_50_02.txt , 0, EN_art_1_50_02_mau.txt , 44, connguoi, 20.83s, 0.0%
EN_gg_0_1000_01.txt , 228, EN_gg_0_1000_01_mau.txt , 1216, google, 476.77s, 83.42616%
EN_gg_0_100_01.txt , 45, EN_gg_0_100_01_mau.txt , 60, google, 31.86s, 87.46242%
EN_gg_0_100_02.txt , 19, EN_gg_0_100_02_mau.txt , 84, google, 31.37s, 59.68714%
EN_gg_0_300_01.txt , 0, EN_gg_0_300_01_mau.txt , 288, google, 97.00s, 0.0%
EN_gg_0_300_02.txt , 57, EN_gg_0_300_02_mau.txt , 177, google, 71.23s, 53.55979%
EN_gg_0_500_01.txt , 2, EN_gg_0_500_01_mau.txt , 667, google, 239.33s, 5.43819%
EN_gg_0_50_01.txt , 7, EN_gg_0_50_01_mau.txt , 52, google, 21.97s, 35.96418%
EN_gg_0_50_02.txt , 15, EN_gg_0_50_02_mau.txt , 44, google, 18.93s, 50.7229%
EN_gg_1_1000_01.txt , 520, EN_gg_1_1000_01_mau.txt , 1216, google, 555.37s, 94.37955%
EN_gg_1_100_01.txt , 30, EN_gg_1_100_01_mau.txt , 60, google, 33.28s, 68.90606%
EN_gg_1_100_02.txt , 43, EN_gg_1_100_02_mau.txt , 84, google, 38.07s, 87.47351%
EN_gg_1_300_01.txt , 0, EN_gg_1_300_01_mau.txt , 288, google, 99.03s, 0.0%
