Thực hiện: 08h55 16-02-2023

==== ==== ==== ==== ==== ====
Đầu ra, Số chữ đầu ra, Đầu vào, Số chữ đầu vào, Tác nhân, Số giây của video, Kết quả 
EN_art_0_1000_01.txt , 1239, EN_art_0_1000_01_mau.txt , 1216, connguoi, 558.00s, 97.93818%
EN_art_0_100_01.txt , 60, EN_art_0_100_01_mau.txt , 60, connguoi, 27.36s, 100.0%
EN_art_0_100_02.txt , 69, EN_art_0_100_02_mau.txt , 84, connguoi, 32.73s, 93.28541%
EN_art_0_300_01.txt , 292, EN_art_0_300_01_mau.txt , 288, connguoi, 117.53s, 97.78932%
EN_art_0_300_02.txt , 186, EN_art_0_300_02_mau.txt , 177, connguoi, 88.67s, 89.59089%
EN_art_0_500_01.txt , 668, EN_art_0_500_01_mau.txt , 667, connguoi, 254.73s, 96.44445%
EN_art_0_50_01.txt , 53, EN_art_0_50_01_mau.txt , 52, connguoi, 18.90s, 91.44671%
EN_art_0_50_02.txt , 42, EN_art_0_50_02_mau.txt , 44, connguoi, 15.50s, 81.72949%
EN_art_1_100_01.txt , 38, EN_art_1_100_01_mau.txt , 60, connguoi, 25.27s, 64.9171%
EN_art_1_100_02.txt , 49, EN_art_1_100_02_mau.txt , 84, connguoi, 37.37s, 23.56314%
EN_art_1_300_01.txt , 255, EN_art_1_300_01_mau.txt , 288, connguoi, 186.68s, 90.3389%
EN_art_1_300_02.txt , 63, EN_art_1_300_02_mau.txt , 177, connguoi, 75.27s, 26.18941%
EN_art_1_500_01.txt , 630, EN_art_1_500_01_mau.txt , 667, connguoi, 240.30s, 96.71634%
EN_art_1_50_01.txt , 23, EN_art_1_50_01_mau.txt , 52, connguoi, 22.87s, 36.25318%
EN_art_1_50_02.txt , 16, EN_art_1_50_02_mau.txt , 44, connguoi, 20.83s, 26.91915%
EN_gg_0_1000_01.txt , 856, EN_gg_0_1000_01_mau.txt , 1216, google, 476.77s, 97.84929%
EN_gg_0_100_01.txt , 31, EN_gg_0_100_01_mau.txt , 60, google, 31.86s, 73.07066%
EN_gg_0_100_02.txt , 71, EN_gg_0_100_02_mau.txt , 84, google, 31.37s, 95.24094%
EN_gg_0_300_01.txt , 67, EN_gg_0_300_01_mau.txt , 288, google, 97.00s, 82.53972%
EN_gg_0_300_02.txt , 110, EN_gg_0_300_02_mau.txt , 177, google, 71.23s, 85.22602%
EN_gg_0_500_01.txt , 143, EN_gg_0_500_01_mau.txt , 667, google, 239.33s, 80.44762%
EN_gg_0_50_01.txt , 52, EN_gg_0_50_01_mau.txt , 52, google, 21.97s, 100.0%
EN_gg_0_50_02.txt , 21, EN_gg_0_50_02_mau.txt , 44, google, 18.93s, 55.73794%
EN_gg_1_1000_01.txt , 900, EN_gg_1_1000_01_mau.txt , 1216, google, 555.37s, 96.95096%
EN_gg_1_100_01.txt , 60, EN_gg_1_100_01_mau.txt , 60, google, 33.28s, 93.40819%
EN_gg_1_100_02.txt , 84, EN_gg_1_100_02_mau.txt , 84, google, 38.07s, 98.08818%
EN_gg_1_300_01.txt , 276, EN_gg_1_300_01_mau.txt , 288, google, 99.03s, 95.26752%
EN_gg_1_300_02.txt , 168, EN_gg_1_300_02_mau.txt , 177, google, 78.97s, 87.94317%
